relevant,format,cathode_material,anode_material,electrolyte,additive,year,title,DOI
Yes,Coin,Graphene/Sulfur,Lithium metal,1 M LiTFSI in DME/DOL (1:1 by volume),Not found,2019,Repelling Polysulfide Ions by Boron Nitride Nanosheet Coated Separators in Lithium-Sulfur Batteries,10.1021/acsaem.8b02205
Yes,Not found,Not found,Not found,Not found,Not found,2019,Teaching an old dog new tricks: new directions in fundamental and applied closo-carborane anion chemistry,10.1039/c8cc09663e
Yes,Coin,Sulfur,Lithium,1.0 M LiTFSI and 0.2 M LiNO3 in DOL/DME (1:1 v/v),Not found,2021,To Promote the Catalytic Conversion of Polysulfides Using Ni-B Alloy Nanoparticles on Carbon Nanotube Microspheres under High Sulfur Loading and a Lean Electrolyte,10.1021/acsami.1c03791
Not found,Not found,Not found,Not found,Not found,Not found,2019,Computational study on catalytic performance of BC3 and NC3 nanosheets as cathode electrocatalysts for nonaqueous Li-O2 batteries,10.1016/j.jpowsour.2019.226845
Yes,Not found,Not found,Not found,EMImTCB (1-ethyl-3-methylimidazolium tetracyanoborate),Not found,2016,Reactions at graphene|tetracyanoborate ionic liquid interface - New safety mechanisms for supercapacitors and batteries,10.1016/j.elecom.2016.11.016
Yes,Not found,Not found,Not found,"Tributyloctylphosphonium bis(salicylato)borate [P4,4,4,8][BScB] ionic liquid mixed with lithium bis(salicylato)borate Li[BScB] salt in concentrations from 2.5 to 20 mol%",Not found,2017,Ion dynamics in halogen-free phosphonium bis(salicylato)borate ionic liquid electrolytes for lithium-ion batteries,10.1039/c7cp02722b
Yes,Coin,LiFePO4,Lithium,Network type sp3boron-based single-ion conducting polymer electrolyte with 85 wt.% GBL plasticizer,Not found,2017,Network type sp3 boron-based single-ion conducting polymer electrolytes for lithium ion batteries,10.1016/j.jpowsour.2017.06.006
Not found,Coin,Not found,Graphite,1.0 M LiPF6 in EC/DEC (1/1 v/v),Not found,2020,Phase-Inversion Polymer Composite Separators Based on Hexagonal Boron Nitride Nanosheets for High-Temperature Lithium-Ion Batteries,10.1021/acsami.9b18134
Yes,Not found,LiFePO4,Lithium metal,Boron-containing single-ion conducting polymer electrolyte (BC-SIPE) with PEGMA and ABAPE,Not found,2020,Boron-containing single-ion conducting polymer electrolyte for dendrite-free lithium metal batteries,10.1016/j.ssi.2020.115309
Yes,Swagelok,LiBC,Graphite,1 M LiPF6 in EC:DEC (3:7 by wt.) for anode tests; 1 M LiBF4 in EC:DMC (1:1) for cathode tests,Not found,2012,"LiBC - Synthesis, Electrochemical and Solid-state NMR Investigations",10.5560/ZNB.2012-0223
Yes,Pouch,Li[Ni0.4Mn0.4Co0.2]O2 (NMC442),Graphite,"1 M LiPF6 in EMC with additives like VC, FEC, PES, DTD, TTSPi, PPF, TAP","VC, FEC, PES, DTD, TTSPi, PPF, TAP",2016,Electrolyte System for High Voltage Li-Ion Cells,10.1149/2.0321613jes
Yes,Not found,Not found,Graphite,1M LiPF6 in EC/EMC (3:7 by wt.) with 2 percent FEC,LiDFOB,2019,Carbon Anodes for Nonaqueous Alkali Metal-Ion Batteries and Their Thermal Safety Aspects,10.1002/aenm.201900550
Yes,Laboratory scale (crucible-based),Antimony (Sb),Magnesium (Mg),"Mixture of KCl, NaCl, and MgCl2 at molecular ratio of 20:30:50",Not found,2015,Performance and polarization studies of the magnesium-antimony liquid metal battery with the use of in-situ reference electrode,10.1039/c5ra08606j
Not found,Not found,Not found,Magnesium (Mg metal),"Various, including Mg(BH4)2 in THF or DME with LiBH4 additive, and others like organomagnesium compounds",LiBH4,2014,Paving the Way towards Highly Stable and Practical Electrolytes for Rechargeable Magnesium Batteries,10.1002/celc.201402207
Yes,Coin,Sulfur,Magnesium,BMOC electrolyte synthesized from THFPB and MgO in DME,Not found,2017,Strong anion receptor-assisted boron-based Mg electrolyte with wide electrochemical window and non-nucleophilic characteristic,10.1016/j.elecom.2017.09.001
Yes,Coin,Sulfur,Lithium metal,PEO-PVDF-LiTFSI with 12 wt% BN nanoflakes,Boron nitride (BN),2020,Thermal Conductive 2D Boron Nitride for High-Performance All-Solid-State Lithium-Sulfur Batteries,10.1002/advs.202001303
Yes,Not found,Not found,Not found,Not found,Not found,2020,Facile Self-Forming Superionic Conductors Based on Complex Borohydride Surface Oxidation,10.1002/adsu.201900113
Yes,Coin,NCM811,Lithium metal,PAN-LiClO4-boron nitride nanoflake composite with BNNF modifying layer,BNNF (boron nitride nanoflake),2020,"An ultrathin, strong, flexible composite solid electrolyte for high-voltage lithium metal batteries",10.1039/d0ta05644h
Yes,Not found,Not found,Lithium metal,Poly(ethylene oxide)-based block copolymer electrolytes with lithium salts,Not found,2020,Nitroxide-Mediated Polymerization: A Versatile Tool for the Engineering of Next Generation Materials,10.1021/acsapm.0c00888
Yes,Coin,Not found,B and P co-doped porous carbon,"1.0 M NaClO4 in ethylene carbonate/diethylene carbonate (1:1, vol/vol.) with 5 vol% fluoroethylene carbonate added",Not found,2020,Boron and phosphorous co-doped porous carbon as high-performance anode for sodium-ion battery,10.1016/j.ssi.2020.115455
Yes,Not found,Not found,Not found,Not found,Not found,2009,Computational Estimates of Fluoride Affinity of Boron-Based Anion Receptors,10.1149/1.3139042
Yes,Coin,Not found,Graphite,LiPF6 (1 M) dissolved in EC/PC/3DMC,Not found,1999,Chemical and electrochemical intercalation of lithium into boronated carbons,10.1016/S0008-6223(99)00060-3
Yes,Not found,Not found,Not found,"1 m Na2SO4, 0.1 m TBABF4 in acetonitrile, 0.05 m Fe(CN)6^3−/4− + 1 m Na2SO4, 20 × 10^−3 m ferrocene + 0.1 m TBABF4/ACN",Not found,2019,Achieving Ultrahigh Energy Densities of Supercapacitors with Porous Titanium Carbide/Boron-Doped Diamond Composite Electrodes,10.1002/aenm.201803623
Yes,Not found,30Li2O·47.5V2O5·22.5B2O3 glass (LBV),Not found,Li7La3Zr2O12 (LLZ) solid electrolyte,Not found,2018,Interface features between 30Li2O•47.5V2O5•22.5B2O3 glassy cathode and Li7La3Zr2O12 solid electrolyte,10.1016/j.electacta.2018.08.008
Yes,Coin,Sulfur/Co-NBC composite,Lithium metal,1.0 M LiTFSI in DME/DOL (v/v 1:1) with 2 wt.% LiNO3,LiNO3,2020,Integrating metallic cobalt and N/B heteroatoms into porous carbon nanosheets as efficient sulfur immobilizer for lithium-sulfur batteries,10.1016/j.carbon.2020.06.017
Not found,Not found,Not found,Not found,Not found,Not found,2010,"Review on Li-air batteries-Opportunities, limitations and perspective",10.1016/j.jpowsour.2010.09.031
Yes,Swagelok T-type,Not found,Calcium,0.4 mol·L⁻¹ Ca(TFSI)₂ in EC:PC (50/50 wt%) with 2 wt% BF3·DE,BF3·DE,2021,A boron-based electrolyte additive for calcium electrodeposition,10.1016/j.elecom.2021.106936
Yes,Not found,Not found,Not found,EGMB doped with LiTFSI,Not found,2015,A crystalline low molecular weight cyclic organoboron compound for efficient solid state lithium ion transport,10.1039/c5cc04753f
Yes,Coin,LiFePO4,Lithium metal,PVDF-HFP/LiTFSI hybrid electrolyte with 1% BN addition,Boron nitride (BN),2019,Boron nitride enhanced polymer/salt hybrid electrolytes for all-solid-state lithium ion batteries,10.1016/j.jpowsour.2019.226736
Yes,Pellet,LiCoO2,Lithium metal,Li6.25Al0.25La3Zr2O12 (LALZO) with 1 wt% BN additive,Boron nitride (BN),2019,Boron Nitride Enhanced Garnet-Type (Li6.25Al0.25La3Zr2O12) Ceramic Electrolyte for an All-Solid-State Lithium-Ion Battery,10.1021/acsaem.9b01431
Yes,Not found,Not found,Not found,Not found,"B[C2HBNO(CN)2]3, B[C2HBNS(CN)2]3, B[C4H3BN(CN)2]3",2019,A New Class of Superhalogen Based Anion Receptor in Li-Ion Battery Electrolytes,10.1021/acs.jcim.9b00035
Yes,Coin,Not found,Doped Graphene,1 M LiPF6 in ethylene carbonate and dimethyl carbonate (1:1 v/v),Not found,2011,Doped Graphene Sheets As Anode Materials with Superhigh Rate and Large Capacity for Lithium Ion Batteries,10.1021/nn2006249
Yes,Not found,Sulfur,Lithium metal,1M LiTFSI DIOX:DME (1:1 v/v) with LiNO3 additive,LiNO3,2014,A review of electrolytes for lithium-sulphur batteries,10.1016/j.jpowsour.2014.01.023
Yes,Coin,LiCoO2,50SnO•50B2O3 glass,1M LiPF6 in EC/DEC (1:1 by vol.),Not found,2003,Structural studies in lithium insertion into SnO-B2O3 glasses and their applications for all-solid-state batteries,10.1149/1.1565134
Yes,Coin,NMC811,Graphite,"1 M LiPF6 in EC/DMC/EMC (1:1:1, v:v:v)",LiDFOB,2019,Insights into the Dual Role of Lithium Difluoro(oxalato)borate Additive in Improving the Electrochemical Performance of NMC811∥Graphite Cells,10.1021/acsaem.9b01894
Yes,Not found,Not found,Not found,"1,2-dimethoxyethane (DME) solutions containing various lithium salts","Boron-based anion receptors (e.g., tris(2H-hexafluoroisopropyl)borate, tris(pentafluorophenyl)borate)",1998,The synthesis of a new family of boron-based anion receptors and the study of their effect on ion pair dissociation and conductivity of lithium salts in nonaqueous solutions,10.1149/1.1838719
Yes,Not found,Not found,Not found,"50Li2O-xB2O3-(50-x)P2O5 glasses (e.g., 50Li2O-20B2O3-30P2O5)",Not found,2009,Composition and structure dependence of the properties of lithium borophosphate glasses showing boron anomaly,10.1016/j.jnoncrysol.2009.09.013
Yes,Coin,Not found,Not found,Not found,Not found,Not found,Expanding the chemistry of single-ion conducting poly(ionic liquid)s with polyhedral boron anions,10.1002/pi.5878
Yes,Coin,LiNi0.5Mn1.5O4 (LNMO),Lithium metal,EC/DMC (1:1 wt) 1 M LiPF6 with 1 wt% ADM additive,Methylboronic acid MIDA ester (ADM),2020,An electrolyte additive with boron-nitrogen-oxygen alkyl group enabled stable cycling for high voltage LiNi0.5Mn1.5O4 cathode in lithium-ion battery,10.1016/j.jpowsour.2020.228473
Yes,Not found,LiCoO2,Graphite,1M LiPF6/EC:EMC (1:2 v/v) with 2 wt% TAB,Tri-acrylol borate (TAB),2008,Synthesis and characteristics of acrylol borate as new acrylic gelator for lithium secondary battery,10.1007/BF03218842
Yes,Not found,Not found,Not found,Not found,Not found,2015,Novel benzimidazole salts for lithium ion battery electrolytes: effects of substituents,10.1039/c5cp00982k
Yes,Coin,LiNi0.5Mn1.5O4,Graphite,"0.5 M LiTFSI, 20 vol% PP13DFOB, 80 vol% DMC",PP13DFOB,2018,A novel boron-based ionic liquid electrolyte for high voltage lithium-ion batteries with outstanding cycling stability,10.1016/j.electacta.2018.06.170
Yes,Not found,Not found,Not found,Not found,"Li[B(DPN)2], Li[B(DPN)(ox)], Li[P(DPN)3]",2021,Organophosphorus decorated lithium borate and phosphate salts with extended π-conjugated backbone,10.1039/d1dt00601k
Yes,Not found,Not found,Not found,Not found,Not found,2002,Structural features of lithium organoborates,10.1021/cg010035q
Yes,Not found,Not found,Not found,xLi2O–B2O3 glass samples with x ranging from 0.3 to 2.5,Not found,2009,Identification of the presence of crystalline phase in lithiated boron oxide ionic glass conductors,10.1016/j.mseb.2009.09.015
Yes,Coin,Mo6S8,Mg,0.25 mol L^{-1} Mg[Mes3BPh]2/THF,Not found,2013,Halogen-free boron based electrolyte solution for rechargeable magnesium batteries,10.1016/j.jpowsour.2013.09.124
Yes,Coin,NCM523,Lithium metal,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",TPFPB,Not found,Stable Anion-Derived Solid Electrolyte Interphase in Lithium Metal Batteries,10.1002/anie.202107732
Yes,Sheet,Not found,Not found,xLi2O-B2O3 with x=3.0-4.5,Not found,2007,Correlation between structural and electrical properties of heavily lithiated boron oxide solid electrolytes,10.1016/j.jnoncrysol.2007.07.046
Yes,Not found,TiS2,Lithium metal,Li2(B11H14)(CB11H12) and other mixed-anion hydroborates,Not found,2021,Nido-Hydroborate-Based Electrolytes for All-Solid-State Lithium Batteries,10.1002/adfm.202010046
Yes,Coin,Sulfur,Lithium metal,1 M LiTFSI and 0.1 M LiNO3 in DOL/DME (1:1 v/v),Not found,2020,Application of magnetron sputtering to deposit a multicomponent separator with polysulfide chemisorption and electrode stabilization for high-performance lithium-sulfur batteries,10.1016/j.surfcoat.2020.126580
Yes,Coin,LiFePO4,Lithium metal,PC swollen PLTB@PVDF-HFP (PLTB/PVDF-HFP/PC = 0.25/0.25/0.5 w/w/w),Not found,2013,Exploring polymeric lithium tartaric acid borate for thermally resistant polymer electrolyte of lithium batteries,10.1016/j.electacta.2013.01.026
Yes,Pouch,NMC442,Graphite,"1 M LiPF6 in FEC:TFEC (1:1 wt. ratio) with prop-1-ene-1,3-sultone (PES) additive","prop-1-ene-1,3-sultone (PES)",2015,Fluorinated electrolyte for 4.5 V Li(Ni0.4Mn0.4Co0.2)O2/graphite Li-ion cells,10.1016/j.jpowsour.2015.12.132
Yes,Coin,LiFePO4,Lithium metal,PEO/LiTFSI/h-BN composite solid polymer electrolyte,h-BN,2020,Hexagonal boron nitride induces anion trapping in a polyethylene oxide based solid polymer electrolyte for lithium dendrite inhibition,10.1039/d0ta03677c
Yes,Coin,LFP,Li metal,PEO-based electrolyte with BNNSs coating,Not found,2019,Chemically exfoliated boron nitride nanosheets form robust interfacial layers for stable solid-state Li metal batteries,10.1039/c9cc02124h
Yes,Not found,LiFePO4 or NMC (LiNi0.33Mn0.33Co0.33O2),Lithium metal,"LATP solid electrolyte with BN coating, sometimes with added PEO or liquid electrolyte (e.g., 1M LiPF6 in EC/DEC)",Boron nitride (BN) coating,2019,Stabilizing Solid Electrolyte-Anode Interface in Li-Metal Batteries by Boron Nitride-Based Nanocomposite Coating,10.1016/j.joule.2019.03.022
Yes,Bulk-type,TiS2,Li,Li2B12H12,Not found,2016,Bulk-Type All-Solid-State Lithium Batteries Using Complex Hydrides Containing Cluster-Anions,10.2320/matertrans.MAW201601
Yes,Not found,Not found,Graphite,Not found,LiBOB and LiODFB,2013,Research progresses of two kinds of novel electrolyte lithium salts: lithium bis(oxalato) borate and lithium oxalyldifluroborate,10.4028/www.scientific.net/AMR.652-654.896
Yes,Not found,Not found,Not found,Not found,Not found,2021,Synthesis and Modification of Boron Nitride Nanomaterials for Electrochemical Energy Storage: From Theory to Application,10.1002/adfm.202106315
Yes,Thin film,Not found,Not found,Li2O–B2O3–P2O5,Not found,2006,Fabrication of Li2O-B2O3-P2O5 solid electrolyte by aerosol flame deposition for thin film batteries,10.1016/j.ssi.2006.11.005
Yes,Not found,LiFePO4,Lithium metal,PVDF-based gel polymer electrolyte with LiClO4 and COF additives,Porous boron-containing covalent organic frameworks (COFs),2019,Porous covalent organic frameworks for high transference number polymer-based electrolytes,10.1039/c8cc08725c
Yes,Not found,Not found,Not found,Li2+xC1-xBxO3 (LCBO),Not found,2020,Achieving Both High Ionic Conductivity and High Interfacial Stability with the Li2+xC1-xBxO3 Solid-State Electrolyte: Design from Theoretical Calculations,10.1021/acsami.9b22185
Yes,Not found,Not found,Not found,Lithium polyvinyl alcohol oxalate borate (LiPVAOB) with propylene carbonate (PC) as an assistant,Not found,2012,A new single-ion polymer electrolyte based on polyvinyl alcohol for lithium ion batteries,10.1016/j.electacta.2012.08.114
Not found,Not found,Not found,Not found,Not found,Not found,2019,The use of two-dimensional materials in high-temperature rechargeable batteries: current issues and preventative measures,10.1088/2053-1591/ab1aea
Yes,Not found,"LiCoO2 (potential, not tested)","Li4Ti5O12 (potential, not tested)",Not found,Not found,2021,Overview of the Structure-Dynamics-Function Relationships in Borohydrides for Use as Solid-State Electrolytes in Battery Applications,10.3390/molecules26113239
Yes,Not found,Not found,Not found,Not found,Not found,2012,Two unsymmetrical lithium organoborates with mixed-ligand of croconato and oxalicdiolato or benzenediolato for lithium battery electrolytes,10.1016/j.jpowsour.2012.06.044
Yes,Thin-film,LiCoO2,Not found,xLi2O-B2O3 glasses (x=0.5 to 3),Not found,2003,Preparation by e-gun evaporation and study of cathode-electrolyte thin-film bi-layers for solid state microbatteries,10.1007/s10008-003-0400-1
Yes,Coin,Not found,Silicon,1 M LiPF6 in EC:DEC,Not found,2021,Defined Poly(borosiloxane) as an Artificial Solid Electrolyte Interphase Layer for Thin-Film Silicon Anodes,10.1021/acsaem.0c02749
Yes,Not found,Not found,Not found,PEO-based with various lithium salts and boron additives,difluoroalkoxyborane compounds ([R_nOBF_2]_2),2007,New boron compounds as additives for lithium polymer electrolytes,10.1016/j.electacta.2007.02.046
Yes,Not found,Not found,Not found,Li_xB1-x/3PO4 (lithium boron phosphate),Not found,2002,Identification and inspection of the vacancy site in Li doped BPO4 ceramic electrolyte by NMR,10.1016/S0009-2614(02)01443-4
Yes,Not found,Not found,Not found,"Various binary solvent electrolytes containing lithium organoborates such as LiBBB, LiBNB, LiBBPB, LiBSB, and mixtures with LiPF6 in solvents like PC, EC, DME, THF, 2-MeTHF, 2,5-DMeTHF","Lithium organoborates (e.g., LiBBB, LiBNB, LiBBPB, LiBSB)",2001,Application to lithium battery electrolyte of lithium chelate compound with boron,10.1016/S0378-7753(01)00745-5
Yes,Not found,Not found,Not found,LiBH4·½NH3,Not found,2020,"Ammonia-assisted fast Li-ion conductivity in a new hemiammine lithium borohydride, LiBH4•1/2NH3",10.1039/c9cc09990e
Yes,Coin,Not found,Silicon,"Ionic liquid/boric ester binary electrolytes, e.g., AMImFSI/mesityldimethoxyborane (1:2 v/v) with LiTFSI",Not found,2017,Ionic liquid/boric ester binary electrolytes with unusually high lithium transference number,10.1016/j.elecom.2017.06.019
Yes,Not found,Not found,Not found,Cross-linked salt-in-polysiloxane membranes with LiDFOB or LiBOB at 0.61 mmol/g polymer,"LiDFOB, LiBOB",2011,Salt-in-Polymer Electrolytes Based on Polysiloxanes for Lithium-Ion Cells: Ionic Transport and Electrochemical Stability,10.1149/1.3563085
Yes,Coin,Not found,Graphite,1.2 M LiPF6 in PC/EC/EMC (3:3:4 by wt.) with TTFP additive,"TTFP (tris(2,2,2-trifluoroethyl) phosphite)",2002,A thermal stabilizer for LiPF6-based electrolytes of Li-ion cells,10.1149/1.1499669
Yes,Coin,LiFePO4,Li metal,1.0 mol L–1 LiPF6 in ethylene carbonate and diethylene carbonate (v/v = 1:1),Not found,2017,3D printed separator for the thermal management of high-performance Li metal anodes,10.1016/j.ensm.2017.12.019
Yes,Not found,G/BN-20% composite,Magnesium,0.5 M Mg(ClO4)2/[bim][Br],Not found,2020,Graphene Supported Boron Nitride Nanosheets as Advanced Electroanalytical Performance for Rechargeable Magnesium Storage System,10.1002/slct.201904872
Yes,Coin,LiMn2O4,Lithium,1M LiPF6 in EC/DMC (1:1 volume ratio),Not found,2005,Surface treatment of the lithium boron oxide coated LiMn2O4 cathode material in Li-ion battery,10.4028/www.scientific.net/KEM.280-283.671
Yes,Coin,Mo6S8 or S8@CMK-3,Mg,"1,2-dimethoxyethane (DME) containing 0.3 M tris(2H-hexafluoroisopropyl) borate (THFPB) with CrCl3 catalyst",CrCl3,2020,Al-compatible boron-based electrolytes for rechargeable magnesium batteries,10.1039/d0cc05611a
Yes,Not found,Not found,Not found,Not found,Not found,2016,Unexpected Dimeric Spiro-Borate Complexes from Lewis-Acid Induced Transformation of Oxalatoborates,10.1002/zaac.201600319
Yes,Not found,Not found,Not found,Not found,LBDOB,2009,"LBDOB, a new lithium salt with benzenediolato and oxalato complexes of boron for lithium battery electrolytes",10.1016/j.jpowsour.2009.08.038
Not found,Not found,Not found,Not found,Not found,Not found,2017,A Facile Synthesis of Nitrogen-Doped Highly Porous Carbon Nanoplatelets: Efficient Catalysts for Oxygen Electroreduction,10.1038/srep43366
Not found,Not found,Not found,Not found,Not found,Not found,2016,Ionic Covalent Organic Frameworks with Spiroborate Linkage,10.1002/anie.201509014
Yes,Not found,Not found,Not found,Not found,Not found,2013,Synthesis of novel organic-ligand-doped sodium bis(oxalate)-borate complexes with tailored thermal stability and enhanced ion conductivity for sodium ion batteries,10.1016/j.jpowsour.2013.09.044
Yes,Coin,Not found,Boron quantum dots/reduced graphene oxide (B@rGO),1 M LiPF6 in 1:1 ethylene carbonate-diethyl carbonate (EC/DEC by volume) with 10% fluoroethylene carbonate additives,Fluoroethylene carbonate (FEC),2021,Incorporating quantum-sized boron dots into 3D cross-linked rGO skeleton to enable the activity of boron anode for favorable lithium storage,10.1016/j.cej.2021.130659
Not found,Not found,Not found,Not found,Not found,Not found,2016,"Novel, solid-state, highly fluorescent β-ketoiminate spiroborates with aggregation induced emission",10.1016/j.dyepig.2016.01.006
Yes,Beaker-type,Not found,BCxN and BC10NLi0.5,EC-DME (1:1 by volume) with 1 M LiClO4,Not found,1995,BORON-CARBON-NITROGEN COMPOUNDS AS NEGATIVE ELECTRODE MATRICES FOR RECHARGEABLE LITHIUM BATTERY SYSTEMS,10.1016/0378-7753(94)02173-Z
Yes,Not found,Not found,Lithium,Not found,"Lithium bis[1,2-benzenediolato(2-)-O,O']borate",1995,"NEW CLASS OF ELECTROCHEMICALLY AND THERMALLY STABLE LITHIUM-SALTS FOR LITHIUM BATTERY ELECTROLYTES .1. SYNTHESIS AND PROPERTIES OF LITHIUM BIS[1,2-BENZENEDIOLATO(2-)-O,O']BORATE",10.1149/1.2050048
Yes,Not found,Not found,Not found,Li7La3Zr2O12 with 65Li2O·27B2O3·8SiO2 glass additive,65Li2O·27B2O3·8SiO2 glass,2018,"The influence of the glass additive Li2O-B2O3-SiO2 on the phase composition, conductivity, and microstructure of the Li7La3Zr2O12",10.1016/j.jallcom.2018.06.154
Not found,Not found,Not found,Not found,1.0 M H2SO4 or 1.0 M Na2SO4 with 0.05 M Fe(CN)6^3−/4−,Not found,2018,Battery-like Supercapacitors from Vertically Aligned Carbon Nanofiber Coated Diamond: Design and Demonstrator,10.1002/aenm.201702947
Yes,Not found,LiNi1/3Mn1/3Co1/3O2 (NMC),Graphite,Not found,LiBOB,2016,A long life 4 V class lithium-ion polymer battery with liquid-free polymer electrolyte,10.1016/j.jpowsour.2016.12.009
Yes,Coin,Graphite,Activated Carbon,0.5 M Mg(TFSI)2 in Pyr14TFSI with 2 wt.% ethylene sulfite (ES) additive,Ethylene sulfite (ES),2020,Opportunities and Limitations of Ionic Liquid- and Organic Carbonate Solvent-Based Electrolytes for Mg-Ion-Based Dual-Ion Batteries,10.1002/cssc.202101227
Not found,Not found,Not found,Not found,Not found,Not found,2019,Graphite N-C-P dominated three-dimensional nitrogen and phosphorus co-doped holey graphene foams as high-efficiency electrocatalysts for Zn-air batteries,10.1039/c9nr04696h
Yes,Coin,Not found,Silicon,1 M LiPF6 in EMC/EC/FEC (5:4:1 mass ratio),Not found,2018,Application of Cross-Linked Polyborosiloxanes and Organically Modified Boron Silicate Binders in Silicon-Containing Anodes for Lithium-Ion Batteries,10.1149/2.0801803jes
Yes,Pouch,"NMC111, NMC442",Graphite,1 M LiPF6 in EC/EMC (3:7 wt% ratio),"Pyridine boron trifluoride (PBF), Trimethyl phosphate boron trifluoride (TMP-BF), Triphenyl phosphine oxide boron trifluoride (TPPO-BF)",2016,Some Lewis acid-base adducts involving boron trifluoride as electrolyte additives for lithium ion cells,10.1016/j.jpowsour.2016.08.048
Yes,Coin,Mo6S8,Graphite,Mes3B-(PhMgCl)2 in THF,Not found,2012,Boron-based electrolyte solutions with wide electrochemical windows for rechargeable magnesium batteries,10.1039/c2ee22509c
Yes,Not found,Not found,Lithium metal,"Polyphosphazene-based with OBF3Li groups, LiBOB, and EC/DMC in gel form",LiBOB,2018,Boron Trifluoride Anionic Side Groups in Polyphosphazene Based Polymer Electrolyte with Enhanced Interfacial Stability in Lithium Batteries,10.3390/polym10121350
Yes,Coin,"LiFePO4, LiCoO2, LiNi1/3Co1/3Mn1/3O2",Lithium metal,"Ion gel with N-propyl-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide (PYR13TFSI) IL and 1M LiTFSI, PVDF-HFP, TMPTA, and AFBNNSs",Amine-functionalized boron nitride nanosheets (AFBNNSs),2020,"Amine-Functionalized Boron Nitride Nanosheets: A New Functional Additive for Robust, Flexible Ion Gel Electrolyte with High Lithium-Ion Transference Number",10.1002/adfm.201910813
Yes,Pellet,Not found,Not found,Not found,B2O3,2003,Influence of B2O3 doping on conductivity of LiTiO2 electrode material,10.1016/S0378-7753(03)00110-1
Yes,Swagelok type cell (solid-state),NaCrO2,Sodium metal,Na2(B12H12)0.5(B10H10)0.5 (closo-borate based solid electrolyte),Not found,2017,A stable 3 V all-solid-state sodium-ion battery based on a closo-borate electrolyte,10.1039/c7ee02420g
Yes,Coin,NaNi1/3Fe1/3Mn1/3O2 (NFM),Sodium metal,"Composite polymer electrolyte containing PEGMA, B-HEMA, NaTf, TEGDME, and AIBN",B-HEMA (boron-containing cross-linker),2020,High performance solid-state sodium batteries enabled by boron contained 3D composite polymer electrolyte,10.1016/j.cej.2020.126736
Yes,Not found,Sulfur,Lithium,Not found,Not found,2018,"Multiporous sp2-hybridized boron nitride (d-BN): stability, mechanical properties, lattice thermal conductivity and promising application in energy storage",10.1039/c8cp03447h
Yes,Not found,Not found,Not found,Not found,Boron (B),2018,"RETRACTED: Hydrothermal synthesis and optimization of boron doped LiZr2(PO4)3Li-ion solid electrolyte (Retracted article. See vol. 512, 2020)",10.1016/j.apsusc.2018.02.158
Yes,Coin,Not found,Porous silicon nanoparticles,Not found,Not found,2013,Scalable preparation of porous silicon nanoparticles and their application for lithium-ion battery anodes,10.1007/s12274-013-0293-y
Yes,Pouch,Not found,Not found,1M H2SO4 or 1M TEABF4 in propylene carbonate,Not found,2017,Porous diamond pouch cell supercapacitors,10.1016/j.diamond.2017.04.004
Yes,Not found,Sulfur/Carbon Black/LPS Composite,Lithium,"Li7P3S11 with BN doping (e.g., LPS-2% BN)",BN (Boron Nitride),2019,Boron nitride doped Li7P3S11 solid electrolyte with improved interfacial compatibility and application in all-solid-state Li/S battery,10.1007/s10854-019-02267-z
Yes,Coin,Not found,Silicon,1 M LiPF6 in 1:1 (v/v) ethylene carbonate (EC): ethyl methyl carbonate (EMC),Not found,2020,Reduced Silicon Fragmentation in Lithium Ion Battery Anodes Using Electronic Doping Strategies,10.1021/acsaem.9b02200
Yes,Not found,Not found,Not found,"1,2-dimethoxyethane (DME) solutions with lithium salts (e.g., LiF, CF3COOLi, C2F5COOLi) and boronate additives","Series of fluorinated boronate compounds (e.g., (C6H3F)O2B(C6H3F2), (C6F4)O2B(C6F5), etc.)",2004,Synthesis of a series of fluorinated boronate compounds and their use as additives in lithium battery electrolytes,10.1149/1.1779407
Not found,Not found,Not found,Not found,"0.5 M LiClO4 in DMSO, 0.5 M NaClO4 in DMSO, and others with various cations",Not found,2015,Oxygen reduction and oxygen evolution in DMSO based electrolytes: the role of the electrocatalyst,10.1039/c5cp04356e
Not found,Not found,Not found,BC3,Not found,Not found,2012,High-capacity electrode material BC3 for lithium batteries proposed by ab initio simulations,10.1103/PhysRevB.85.195415
Not found,Not found,Not found,Not found,Not found,Not found,2020,Wiping off oxygen bonding to maximize heteroatom-induced improvement in oxygen reaction activity of metal site for high-performance zinc-air battery,10.1088/1361-6528/ab6fdb
Yes,Not found,Not found,Not found,Not found,4FLBDOB,2013,"A new lithium salt with tetrafluoro-1,2-benzenediolato and oxalato complexes of boron for lithium battery electrolytes",10.1016/j.jpowsour.2013.02.005
Yes,Not found,LiMn2O4,Not found,1 mol kg−1 LiCF3SO3 in EC + EMC (1:1 by volume) with tri-isopropoxy boroxine (TiPBx),tri-isopropoxy boroxine (TiPBx),2010,High Voltage Stability of Interfacial Reaction at the LiMn2O4 Thin-Film Electrodes/Liquid Electrolytes with Boroxine Compounds,10.1149/1.3374638
Not found,Not found,Not found,Not found,Not found,Not found,2018,Sodium borohydride for the near-future energy: a rough diamond for Turkey,10.3906/kim-1712-6
