idx,cell_type,CEI&SEI,additives,additives_abbr,temperatures,details,DOI,cathode,anode,electrolyte,title,abstract
472,LIB,SEI,Lithium Difluoro(oxalato)borate,LiDFOB,Not found,"The boron-containing additive LiDFOB in the PDSLB electrolyte forms a B-rich SEI film at the Al-based anode interface, which enhances interfacial stability by promoting the formation of a dense, thin reaction layer with components like Li-B-O and B-F, improving toughness and reducing interface impedance.",10.1021/acsenergylett.4c03066,LFP (LiFePO4),Aluminum (Al) metal foil,"PDSLB (PVDF-HFP-based solid electrolyte), LE0 (liquid electrolyte, composition not fully specified in text)",Interface Engineering of Aluminum Foil Anode for Solid-State Lithium-Ion Batteries under Extreme Conditions,"['Alloy foil anodes have garnered significant attention because of their compelling metallic characteristics and high specific capacities, while solid-state electrolytes present opportunities to enhance their reversibility. However, the interface and bulk degradation during cycling pose challenges for achieving low-pressure and high-performance solid-state batteries. In this study, we engineered a nonintrusive solid-state electrolyte rich in fluorine and boron and developed aluminum metal foils featuring a densely structured and highly lithiated interface, effectively suppressing interfacial contact loss and promoting the formation of a stable interfacial layer rich in fluorine and boron, helping to minimize fluctuations in Coulombic efficiency. With high areal cathode capacities (similar to 2.5 mAh cm-2), the low-pressure solid-state battery exhibited stable cycling performance for over 140 cycles, achieving an average Coulombic efficiency of 99.86%. Our findings provide a solid framework for designing durable electrolyte/anode interfaces in ambient-pressure, intrinsically safe alloy-foil-based solid-state batteries.']"
478,LIB,Unspecified,3-(trimethylsilyl)phenylboronic acid,TMSPB,Not found,Unspecified,10.1016/j.cej.2024.159156,NMC622,Graphite,"1.0M LiPF6 in EC/DEC/EMC (3:2:5, in weight)",Synergistic effects of film-forming and film-modifying additives for enhanced all-climate performance of graphite/NMC622 pouch cells,"['The increasing demand for lithium-ion batteries (LIBs) with wide temperature adaptability arises from their growing utilization in extreme environments. However, LIB performance significantly deteriorates under such conditions. Electrolyte additives have demonstrated promise in addressing this issue; however, most fail to achieve a balance in performance across all temperature ranges due to the typical offering of either high stability or low impedance by additive-derived electrode/electrolyte interphases. In this study, we propose a dualadditive strategy to overcome this trade-off by employing a Film-Forming Additive (FFA), specifically an anhydride compound, and a Film-Modifying Additive (FMA), specifically a boron-containing compound. The FFA forms a robust interphase that enhances stability against interfacial side reactions, while the FMA, possessing high electrochemical activity, modifies the FFA-derived interphase by reducing impedance and facilitating rapid Li+ de-solvation through the formation of conductive B-O bonds. This synergistic interphase combines both high stability and low impedance, enabling graphite/NMC622 pouch cells to retain 76 % capacity after 500 cycles at 25 degrees C and 77 % after 700 cycles at 55 degrees C compared to respective values of 28 % and 66 % for cells without additives. Additionally, cells with the dual additives exhibit over a 20 % improvement in discharge capacity at subzero temperatures. This dual-additive design provides a valuable framework for developing electrolytes tailored for all-climate batteries.']"
480,LIB,Unspecified,"tris(2,2,3,3,3-pentafluoropropyl) borane",TPFPB,"The Li||NCM811 cell using BE with 1%TPFPB shows excellent performance across a wide temperature range (-30°C to 60°C), with high capacity retentions at various temperatures, but no specific optimal temperature is mentioned; it performs well from -30°C to 60°C.",Unspecified,10.1093/nsrnwae219,NCM811 and NCM90,Lithium metal,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",10.1093/nsrnwae219,[]
482,LIB,Unspecified,Boron Nitride Nanoﬁber,BNNF,60°C,Unspecified,10.1016/j.jmst.2024.07.051,LiFePO4 (LFP) and LiNi0.6Co0.2Mn0.2O2 (NCM622),Lithium metal,PEO and LiTFSI (EO:Li = 18:1) with BNNF additives,High-surface area active boron nitride nanofiber rich in oxygen vacancies enhanced the interface stability of all-solid-state composite electrolytes,"['Solid electrolytes are the most promising candidate for replacing liquid electrolytes due to their safety and chemical stability advantages. However, a single inorganic or organic solid electrolyte cannot meet the requirements of commercial all-solid-state batteries (ASSBs), which motivates the composite polymer electrolyte (CPE). Herein, a CPE of boron nitride nanofiber (BNNF) with a high specific surface area, rich pore structure, and poly (ethylene oxide) (PEO) are reported. Anions strongly adsorb on the surface of BNNF through electrostatic interactions based on oxygen vacancies, promoting the dissociation of lithium salts at the two-phase interface. The three-dimensional (3D) BNNF network provides three advantages in the CPE, including (i) improving ionic conductivity through strong interaction between polymers and fillers, (ii) improving mechanical properties through weaving a robust skeleton, and (iii) improving stability through a rapid and uniform thermal dispersion pathway. Therefore, the CPE with BNNF delivers high ionic conduction of 4.21 x 10-4 S cm-1 at 60 degrees C and excellent cycling stability (plating/stripping cycles for 20 0 0 h with a low overpotential of similar to 40 mV), which results in excellent electrochemical performance of LiFePO4 (LFP) full cell assembled with CPE-5BNNF-130 0 (152.7 mAh g-1 after 200 cycles at 0.5 C, and 134.8 mAh g-1 at 2.0 C). Furthermore, when matched with high-voltage LiNi0.6 Co0.2 Mn0.2 O2 (NCM622), it also exhibits an outstanding rate capacity of 120.4 mAh g-1 at 1.0 C. This work provides insight into the BNNF composite electrolyte and promotes its practical application for ASSBs. (c) 2024 Published by Elsevier Ltd on behalf of The editorial office of Journal of Materials Science & Technology.']"
483,LIB,SEI,"2,2-dimethylvinylboronic acid",DEBA,Not found,"The in-situ electropolymerization of the unsaturated carbon–carbon double bonds in DEBA forms a uniform and ultrathin SEI film on the graphite surface, which inhibits the shedding of electrode particles during electrochemical process. Additionally, the electron-deficient boron element in the boric acid group reacts with electron-rich lithium salt anion PF6- to form B-F bond, which is conducive to reduce concentration polarization and improve the Li+ transport kinetics, and XPS analysis shows DEBA successfully inhibited the decomposition of LiPF6 on the graphite surface, indicating suppression of side reactions and reduction of interface impedance.",10.1016/j.cej.2024.156790,LiFePO4,Graphite,1 M LiPF6 in EC/DMC (1:1 v/v) with 1 wt% DEBA,Tow-way regulation strategy for in-situ electropolymerization additives coordinated by double bonds and boric acid groups in lithium secondary batteries,"['The stability and cycle life of the cathode material directly affect the electrochemical performance of the secondary battery, and the dendrite problem of the anode material greatly destroys its safety. To solve the above problems, here we report a small organic molecule monomer, 2,2-dimethylvinylboronic acid (DEBA) containing carbon-carbon double bonds and boric acid groups as electrolyte additive for lithium secondary battery. The unsaturated carbon-carbon double bonds in DEBA can undergo in-situ electropolymerization during the electrochemical process, forming a polymer network. The electron-deficient boron element can easily combine with the electron-rich lithium salt anion to form a B-F bond. It can promote the transport rate of Li+, alleviate the Li+ concentration gradient at the interface, and achieve uniform and dense deposition on the Li metal surface. The Li//graphite and Li//LiFePO4 half-cell experiments show that DEBA has an excellent tow-way regulation effect. This rationally designed dual-functional electrolyte additive provides a broad prospect for future electrolyte engineering.']"
489,LIB,CEI,Lithium Difluoro(oxalato)borate,LiDFOB,Not found,"The boron-containing additive LiDFOB forms a thin, uniform, and boron-rich cathode-electrolyte interphase (CEI) that suppresses electron tunneling and mitigates parasitic cathode-electrolyte reactions, as evidenced by SEM-EDS, TEM, and XPS analyses showing homogenous boron distribution and composition including B-O and B-F species.",10.1002/aenm.202400773,NMC811,Graphite or Hard Carbon,0.5 m LiTFSI-0.5 m LiDFOB in tetraglyme (G4),"A Green, Fire-Retarding Ether Solvent for Sustainable High-Voltage Li-Ion Batteries at Standard Salt Concentration","['Lithium-ion batteries (LIBs) are increasingly encouraged to enhance their environmental friendliness and safety while maintaining optimal energy density and cost-effectiveness. Although various electrolytes using greener and safer glyme solvents have been reported, the low charge voltage (usually lower than 4.0 V vs Li/Li+) restricts the energy density of LIBs. Herein, tetraglyme, a less-toxic, non-volatile, and non-flammable ether solvent, is exploited to build safer and greener LIBs. It is demonstrated that ether electrolytes, at a standard salt concentration (1 m), can be reversibly cycled to 4.5 V vs Li/Li+. Anchored with Boron-rich cathode-electrolyte interphase (CEI) and mitigated current collector corrosion, the LiNi0.8Mn0.1Co0.1O2 (NMC811) cathode delivers competitive cyclability versus commercial carbonate electrolytes when charged to 4.5 V. Synchrotron spectroscopic and imaging analyses show that the tetraglyme electrolyte can sufficiently suppress the overcharge behavior associated with the high-voltage electrolyte decomposition, which is advantageous over previously reported glyme electrolytes. The new electrolyte also enables minimal transition metal dissolution and deposition. NMC811||hard carbon full cell delivers excellent cycling stability at C/3 with a high average Coulombic efficiency of 99.77%. This work reports an oxidation-resilient tetraglyme electrolyte with record-high 4.5 V stability and enlightens further applications of glyme solvents for sustainable LIBs by designing Boron-rich interphases.']"
502,LIB,Unspecified,"Lithium Difluoro(oxalato)borate, Tris(2H-hexafluoroisopropyl)borate","LiDFOB, THFPB",Not found,Unspecified,10.1021/acs.nanolett.4c01104,Li1.2Co0.13Ni0.13Mn0.54O2,Graphite,1M LiPF6 in EC/DMC/EMC (1:1:1 by volume),Exceptional Rate Performances of Li-Rich Mn-Based Cathodes Enabled by Boron-Based Additives-Driven Self-Optimized Interface,"['Li-rich Mn-based cathode material (LRM), as a promising cathode for high energy density lithium batteries, suffers from severe side reactions in conventional lithium hexafluorophosphate (LiPF6)-based carbonate electrolytes, leading to unstable interfaces and poor rate performances. Herein, a boron-based additives-driven self-optimized interface strategy is presented to dissolve low ionic conductivity LiF nanoparticles at the outer cathode electrolyte interface, leading to the optimized interfacial components, as well as the enhanced Li ion migration rate in electrolytes. Being attributed to these superiorities, the LRM||Li battery delivers a high-capacity retention of 92.19% at 1C after 200 cycles and a low voltage decay of 1.08 mV/cycle. This work provides a new perspective on the rational selection of functional additives with an interfacial self-optimized characteristic to achieve a long lifespan LRM with exceptional rate performances.']"
505,LIB,Unspecified,5-(t-butyldimethylsilyloxy)-2-fluorophenylboronic acid pinacol ester,SOFPB,Not found,Unspecified,10.1016/j.cej.2024.157218,NCM622,Graphite,1 M LiPF6 in EC:EMC (3:7 vol%),Molecular-level designed single electrolyte additive with multifunctional groups enabling high mechanical properties/fast Li plus kinetics interphase for wide-temperature nickel-rich/graphite batteries,"['High-voltage nickel-rich/graphite full-cells offer significant potential for enhancing the energy density of lithium-ion batteries (LIBs), yet rapid capacity degradation at extreme temperatures remains a critical challenge. We introduce a novel electrolyte additive, 5-(t-butyldimethylsilyloxy)-2-fluorophenylboronic acid pinacol ester (SOFPB), which incorporates multifunctional boron, phenyl-, fluorine, and siloxy groups to tackle this issue. In Li/NCM622 half-cells, 0.3 wt% SOFPB achieves a capacity retention 2.6 times that of the Baseline after 400 cycles at-30 degrees C, and maintains 78.4% and 77.5% capacity after 300 cycles at 25 degrees C and 55 degrees C, respectively, compared to 63.4% and 3.8% for the Baseline. This improvement is attributed to a robust cathode electrolyte interphase (CEI) with high lithium-ion conductivity and oxidative stability. Li/graphite half-cells with SOFPB show rapid capacity recovery at 0 degrees C and retain 99.6% and 72.4% capacity after 500 and 150 cycles at 25 degrees C and 55 degrees C, respectively, compared to 60.3% for the Baseline at 25 degrees C. This performance is due to a flexible solid electrolyte interphase (SEI) that improves lithium-ion diffusion. Furthermore, NCM622/graphite full-cells highlight the practical value of SOFPB, with retention of 91.6%/77.7%/97.7% after 200/150/50 cycles at 25 degrees C/-10 degrees C/55 degrees C, respectively, compared to 52.9%/25.2%/43.9% for the Baseline. The multifunctional design of SOFPB provides valuable insights for developing advanced electrolyte additives for high-voltage LIBs with broad climate adaptability.']"
516,LIB,Unspecified,tris(trimethylsilyl)borate,TMSB,Not found,Unspecified,10.1021/acsnano.4c08836,Carbon fluoride (CFx),Lithium metal,"1M LiPF6 and 0.02M LiDFOB in FEC, HFE, and FEMC (2:2:6 by volume) with 5 vol% TMSB",Design and Reaction Mechanism of Rechargeable Lithium-Carbon Fluoride Battery,"['Recharging primary batteries is of great importance for increasing the energy density of energy storage systems to power electric aircraft and beyond. Carbon fluoride (CFx) cathodes are characterized by high specific capacity and energy density (865 mAh g(-1) and 2180 Wh kg(-1), respectively). Preventing the crystallization of LiF with an intermediate and lowering the energy barrier from LiF to CFx is expected to render the Li/CFx battery reversible. In this study, taking the advantage of a high-voltage-stable all-fluorinated electrolyte containing the boron-based anion receptor tris(trimethylsilyl)borate (TMSB), a rechargeable Li/CFx battery was realized with a reversible capacity of 465.9 mAh g(-1) and an energy density of 1183.9 Wh kg(-1), approximately 53% of that in the first discharge. After the first discharge, the charge-discharge profile featured rechargeable characteristics. In situ X-ray diffraction, ex situ soft X-ray absorption spectroscopy, pair distribution function analysis, and other measurements confirmed the generation and decomposition of Li-F and C-F bonds during cycling. Density functional theory calculations and nuclear magnetic resonance spectroscopy confirmed that TMSB serves as an anion carrier through the generation of a [TMSB-F](-) complex, facilitating the conversion reactions during cycling. This study demonstrated a facile and low-cost approach for realizing high-energy-density, reversible Li/CFx batteries.']"
529,LIB,Unspecified,Phenyl boric acid,PBA,Not found,Unspecified,10.1016/j.electacta.2024.144684,LiNi0.5Co0.2Mn0.3O2 (NCM523),Silicon-carbon (SiC),1M LiPF6 in EC/EMC (3:7 by wt.) with Phenyl boric acid (PBA) additive,Construction of stable two-sided interface via the addition of phenylboric acid in Lithium-ion batteries,"['Electrolyte additive engineering is one of the most useful approaches to improve the interfacial property of electrode material in Li-ion batteries (LIBs), which plays a vital role in the mass transport during the electrochemical process. Boron-based electrolyte additives have a good application prospect, however exploring new additives with lower-cost and higher efficiency is still needed. In this study, Phenyl boric acid (PBA), acting as a two-sided interface modifier, is introduced to LiNi0.5Co0.2Mn0.3O2/SiC batteries. Through both theoretical calculations and experimental measurements, it is found that PBA could be preferentially reduced on the SiC anode and induce the formation of B-rich solid electrolyte interphase (SEI), which efficiently protects the anode material from the parasitic reaction. Besides, PBA can be sacrificially oxidized before other salt/solvent decomposition, achieving a highly-reversible lithiation/delithiation process at the cathode. Benefiting from these synergistic effects, the target Si-C/Li half-cells achieve a 2.5 % improvement in average coulomb efficiency of 100 cycles, while the capacity retention rate of NCM/Li half-cells and NCM/Si-C full cells increase by 21.4 % and 15.8 %, respectively. This work provides an effective approach to ameliorating the electrode interface chemistry of LIBs employing Si-based anodes Ni-rich cathodes and another analogous battery systems.']"
535,LIB,Unspecified,Lithium Difluoro(oxalato)borate,LiDFOB,"The battery with the additive operates effectively at low temperatures, such as -20°C, with a reversible capacity of 149.1 mAh g⁻¹ and capacity retention of 88.87% after 120 cycles, and can even survive at -30°C.",Unspecified,10.1002/anie.202409193,NCM811,Graphite,"0.6 M LiFSI and 0.2 M LiDFOB dissolved in 1,3-DIOX",Dilute Electrolytes with Fluorine-Free Ether Solvents for 4.5 V Lithium Metal Batteries,"['The limited oxidation stability of ether solvents has posed significant challenges for their applications in high-voltage lithium metal batteries (LMBs). To tackle this issue, the prevailing strategy either adopts a high concentration of fluorinated salts or relies on highly fluorinated solvents, which will significantly increase the manufacturing cost and create severe environmental hazards. Herein, an alternative and sustainable salt engineering approach is proposed to enable the utilization of dilute electrolytes consisting of fluorine (F)-free ethers in high-voltage LMBs. The proposed 0.8 M electrolyte supports stable lithium plating-stripping with a high Coulombic efficiency of 99.47 % and effectively mitigates the metal dissolution, phase transition, and gas release issues of the LiNi0.8Co0.1Mn0.1O2 (NCM811) cathode upon charging to high voltages. Consequently, the 4.5 V high-loading Li||NCM 811 cell shows a capacity retention of 75.2 % after 300 cycles. Multimodal experimental characterizations coupled with theoretical investigations demonstrate that the boron-containing salt plays a pivotal role in forming the passivation layers on both anode and cathode. The present simple and cost-effective electrolyte design strategy offers a promising and alternative avenue for using commercially mature, environmentally benign, and low-cost F-free ethers in high-voltage LMBs. Through salt modulation, high oxidation stability can be achieved for a 0.8 M dilute electrolyte consisting of a single fluorine (F)-free ether solvent. The boron (B)-containing cathode electrolyte interphase (CEI) and solid electrolyte interphase (SEI) formed by the salt decomposition enable stable cycling of lithium metal batteries with a high-loading LiNi0.8Co0.1Mn0.1O2 (NCM811) cathode at the voltage range of 3-4.5 V. image']"
536,LIB,Unspecified,Boron Nitride Nanosphere,BNSPH,60°C,Unspecified,10.1021/acsanm.4c01757,LFP or NCM622,Graphite or Lithium metal,PEO-based SPE with LiTFSI and BNSPH additive,Uniform Boron Nitride Nanospheres with Reactive Surface Defects for Composite Solid-State Electrolytes,"[""Low ionic conductivity, oxidation potential, and poor lithium stability limit the applications of solid polymer electrolyte (SPE) in advanced energy storage systems. Combining functional inorganic materials and flexible polymers is crucial for achieving high ionic conductivity and exceptional rate performance in all-solid-state batteries (ASSBs). Herein, uniform boron nitride nanosphere (BNSPH) with reactive surface defects was prepared through an improved chemical vapor deposition method with high-temperature ammonia immobilization treatment and was introduced to the poly(ethylene oxide) (PEO)-based SPE. Homogeneously dispersed nanostructures reduce the polymer's crystallinity, facilitating the movement of polymer chain segments and significantly improving the composite electrolyte's ionic conductivity. The interaction between BNSPH and the PEO chain enhances the structural stability of the composite polymer electrolyte (CPE) under high voltage, and the oxygen vacancies on the BNSPH surface immobilize TFSI-, promoting the transfer of more dissociated Li+ through the PEO chain. In addition, the excellent thermal conductivity enhances the interface stability and effectively avoids the growth of lithium dendrites. The CPE-5% exhibits an ionic conductivity of 3.86 x 10(-4) S cm(-1) and high voltage stability at 60 degrees C. Therefore, the assembled Li|CPE-5%|Li cell exhibited stable plating/stripping for 2000 h with a small polarization voltage. Furthermore, Li/LFP batteries incorporating CPE-5% exhibit remarkable rate performance (87.8 mA h g(-1) at 2.0 C) and outstanding cycle stability (157.4 mA h g(-1) after 150 cycles at 0.5 C and 60 degrees C). Furthermore, the NCM622/Li assembled with CPE-5% could achieve an excellent lifespan. This study confirms the feasibility of this application and inspire the application of defect-rich BNSPH in SPEs.""]"
539,LIB,Unspecified,"Boron oxide (B2O3), Boric acid (H3BO3)","B2O3, H3BO3",Not found,Unspecified,10.3390/ma17153846,Not found,Not found,"Li1.3Al0.3BxTi1.7-x(PO4)3 with boron compounds (B2O3, H3BO3) doped at 10 wt.%",The Impact of Boron Compounds on the Structure and Ionic Conductivity of LATP Solid Electrolytes,"['The increasing demand for safe and high-energy-density battery systems has led to intense research into solid electrolytes for rechargeable batteries. One of these solid electrolytes is the NASICON-type Li1+xAlxTi2-x(PO4)3 (LATP) material. In this study, different boron compounds (10% B2O3 doped, 10% H3BO3 doped, and 5% B2O3 + 5% H3BO3 doped) were doped at total 10 wt.% into the Ti4+ sites of an LATP solid electrolyte to investigate the structural properties and ionic conductivity of solid electrolytes using the solid-state synthesis method. Characterization of the synthesized samples was conducted using X-ray diffraction (XRD), Raman spectroscopy, scanning electron microscopy (SEM), and electrochemical impedance spectroscopy (EIS). The XRD patterns of the boron-doped LATP (LABTP) samples show that the samples have a rhombohedral phase with space group R3c together and low amounts of impurity phases. While all the LABTP samples exhibited similar ionic conductivity values of around 10-4 S cm-1, the LABTP2 sample doped with 10 wt.% H3BO3 demonstrated the highest ionic conductivity. These findings suggest that varying B3+ ion doping strategies in LATP can significantly advance the development of solid electrolytes for all-solid-state lithium-ion batteries.']"
541,LIB,Unspecified,Lithium bis(oxalato)borate,LiBOB,Not found,Unspecified,10.1002/aenm.202401968,"Li1.222Ni0.349Mn0.651O2 (Co-free lithium-rich layered oxide, LRLO)",Graphite,1M LiPF6 in EC/DMC (3:7 vol%),Understanding Boron Chemistry as the Surface Modification and Electrolyte Additive for Co-Free Lithium-Rich Layered Oxide,"[""Lithium-rich layered oxide (LRLO) stands out as a highly promising cathode material for the next generation of Li-ion batteries, owing to its exceptional lithium storage capacity. The absence of cobalt in LRLO's composition provides an additional advantage, enabling cost-effective production and thereby improving the feasibility of large-scale manufacturing. Despite these promising attributes, LRLO has encountered challenges related to poor cycling performance and severe voltage decay, impeding its practical application. In addressing these challenges, a surface modification technique involving lithium borate (LBO) is employed through a dry coating method. The LBO-coated LRLO exhibits a uniform surface layer with a thickness of 15 nm. Furthermore, the performance of LBO-coated LRLO in a full cell is synergistically enhanced when combined with lithium bis(oxalato)borate (LiBOB) as an electrolyte additive. A discharge capacity retention of 82% is achieved after 400 cycles at room temperature. These substantial improvements are attributed to the continual reaction between boron species on the LRLO cathode surface and PF6- anions in the electrolyte. This reaction generates BF4- and suppresses HF acid formation during the high voltage charging process, demonstrating LRLO's potential for practical implementation. Lithium-rich layered oxide (LRLO), modified with a 15 nm lithium borate (LBO) surface modification and using lithium bis(oxalato)borate (LiBOB) as an electrolyte additive, achieves 82% capacity retention after 400 cycles. The surface modification stabilizes the electrode-electrolyte interphase, reducing HF acid formation and enhancing cycling stability for practical Li-ion battery applications. image""]"
542,LIB,Unspecified,Potassium tetraborate,K2B4O5(OH)4,Not found,Unspecified,10.1016/j.cej.2024.153104,NCM523 and NCM622,Lithium metal,1 M LiPF6 in EC and DMC in a 1:1 vol ratio with 5% FEC,Sustainable release of borate- and nitrate- electrolyte additives via metal-organic frameworks nanocapsules for stable lithium metal batteries,"['Constructing robust electrolyte interphase through inorganic electrolyte additives is an effective strategy to improve the electrochemical performance of lithium metal batteries (LMBs). However, the limited solubility of such additives in electrolyte hinders their further application. Herein, we apply metal-organic frameworks (MOFs) as nanocapsules to sustainably release lithium nitrate (LiNO3) 3 ) and a novel salt of potassium tetraborate (K2B4O5(OH)4). 2 B 4 O 5 (OH) 4 ). LiNO3 3 is inclined to undergo reduction on lithium anode to form a nitride-rich solid electrolyte interphase (SEI) layer; while K2B4O5(OH)4 2 B 4 O 5 (OH) 4 preferentially decomposes on high-voltage cathodes to create a boron- rich cathode electrolyte interphase (CEI) layer. Although both salts exhibit poor solubility in commercial carbonate electrolyte, they can be continuously consumed on the electrode surface and concurrently replenished from the nanocapsules during long-term cycling process. As a result, a compact lithium deposition is achieved and the dissolution of transition metals is restrained. Upon the sacrifice of LiNO3 3 and K2B4O5(OH)4, 2 B 4 O 5 (OH) 4 , the lifespan of LMBs is remarkbly improved. The Li||LiNi0.5Co0.2Mn0.3 0.5 Co 0.2 Mn 0.3 (NCM523) cells at 4.3 V and Li||LiNi0.6Co0.2Mn0.2 0.6 Co 0.2 Mn 0.2 (NCM622) cells at 4.4 V can respectively deliver high capacity retentions of 87 % and 80.1 % for 200 cycles.']"
556,LIB,CEI,"2-Isopropoxy-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",ITD,Not found,"ITD forms a dense and uniform CEI that reduces interface impedance, inhibits nickel dissolution, and has self-repairing ability, maintaining structural integrity and improving cycling stability.",10.1016/j.cej.2024.151946,NCM811,Graphite,1 M LiClO4 in EC/EMC (3:7 by volume) with 2 vol% ITD,Dynamically constructing robust cathode-electrolyte-interphase on nickel-rich cathode by organic boron additive for high-performance lithium-ion batteries,"['Nickel-rich ternary cathode materials LiNi0.8Co0.1Mn0.1O2 (NCM811) have attracted broad attention due to their high voltage and high energy density for lithium-ion batteries. However, rapid capacity decay due to unstable particle surface inhibit the application. Artificial cathode electrolyte interface (CEI) is undoubtedly a more effective and simpler way to solve this issue. Here, stable and highly conductive in situ CEI is designed using a low-cost organic boron additive isopropoxy-4,4,5,5-tetramethyl-1,3,2-dioxaborolane (ITD). Higher occupied molecular orbital energy endows ITD ability to participate in forming CEI. ITD-contained CEI can reduce nickel dissolving, resulting in a lower self-discharge rate, which is benefit from the uniform and stable CEI on the NCM811 surface. As expected, ITD-based CEI can restrain NCM811crystal cracking in Li||NCM811 half batteries, improving capacity retention from 29.4 % to 93.0 % after 200 cycles at 1C (1C = 200 mA g(-1)). It is worth mentioning that ITD-derived CEI is conducive to ion migration, which improve the rate capacity retention from 91.5 % to 95.5 %.']"
559,LIB,Unspecified,tris(pentafluorophenyl)borane (TPFPB),TPFPB,Not found,Unspecified,10.1021/acsami.4c02031,"NCM811, LiFePO4",Lithium metal,PEO/LiTFSI with TPFPB additive,Multifunctional Additive Enables a 5H PEO Solid Electrolyte for High-Performance Lithium Metal Batteries,"['The solid-state battery with a lithium metal anode is a promising candidate for next-generation batteries with improved energy density and safety. However, the current polymer electrolytes still cannot fulfill the demands of solid-state batteries. In this work, we propose a 5H poly(ethylene oxide) (PEO) electrolyte via introducing a multifunctional additive of tris(pentafluorophenyl)borane (TPFPB) for high-performance lithium metal batteries. The addition of TPFPB improves the ionic conductivity from 6.08 x 10(-5) to 1.54 x 10(-4) S cm(-1) via reducing the crystallinity of the PEO electrolyte and enhances the lithium-ion transference number from 0.19 to 0.53 via anion trapping due to its Lewis acid nature. Furthermore, the fluorine and boron segments from TPFPB can optimize the composition of the solid-electrolyte interphase and cathode-electrolyte interphase, providing a high electrochemical stability window over 4.6 V of the PEO electrolyte along with significantly improved interface stability. At last, TPFPB can ensure improved safety through a self-extinguishing effect. As a result, the 5H electrolyte enables the Li/Li symmetric cells to achieve a stable cycle over 2200 h at the current density of 0.2 mA cm(-2) with a capacity of 0.2 mA h cm(-2); the LiFePO4/Li full cells with a high LFP loading of 8 mg cm(-2) exhibits decay-free capacity of 140 mA h g(-1) (99% capacity retention) after 100 cycles; and the NCM811/Li cells exhibit a high capacity of 160 mA h g(-1) after 50 cycles at 0.5 C. This work presents an innovative approach to utilizing a 5H electrolyte for high-performance solid-state lithium batteries.']"
575,LIB,Unspecified,Lithium Difluoro(oxalato)borate,LiDFOB,60°C,Unspecified,10.1002/smll.202307116,FeF3,Lithium metal,PEO/LiTFSI and PEO/LiDFOB bilayer electrolyte,Boosting the Cycle Performance of Iron Trifluoride Based Solid State Batteries at Elevated Temperatures by Engineering the Cathode Solid Electrolyte Interface,"['Iron trifluoride (FeF3) is attracting tremendous interest due to its lower cost and the possibility to enable higher energy density in lithium-ion batteries. However, its cycle performance deteriorates rapidly in less than 50 cycles at elevated temperatures due to cracking of the unstable cathode solid electrolyte interface (CEI) followed by active materials dissolution in liquid electrolyte. Herein, by engineering the salt composition, the Fe3O4-type CEI with the doping of boron (B) atoms in a polymer electrolyte at 60 degrees C is successfully stabilized. The cycle life of the well-designed FeF3-based composite cathode exceeds an unprecedented 1000 cycles and utilizes up to 70% of its theoretical capacities. Advanced electron microscopy combined with density functional theory (DFT) calculations reveal that the B in lithium salt migrates into the cathode and promotes the formation of an elastic and mechanic robust boron-contained CEI (BOR-CEI) during cycling, by which the durability of the CEI to frequent cyclic large volume changes is significantly enhanced. To this end, the notorious active materials dissolution is largely prohibited, resulting in a superior cycle life. The results suggest that engineering the CEI such as tuning its composition is a viable approach to achieving FeF3 cathode-based batteries with enhanced performance. By doping the B atoms into the oxygen-rich cathode solid electrolyte interface (OR-CEI) to form a BOR-CEI, unprecedent cycle life of FeF3 exceeding 1000 cycles is achieved in the polymer electrolyte. The enhanced elasticity and mechanic strength of BOR-CEI is a response to this superior cycle performance.image']"
578,LIB,Unspecified,Lithium metaborate,LBO,Not found,Unspecified,10.1002/adfm.202312091,LiNi0.5Mn1.5O4 (LNMO),Graphite,1M LiPF6 in EC:EMC (3:7 vol%),Understanding the Role of Lithium Borate as the Surface Coating on High Voltage Single Crystal LiNi0.5Mn1.5O4,"['The high-voltage spinel lithium nickel manganese oxide (LNMO) with an operating voltage of 4.8 V is a promising cathode material for next-generation lithium-ion batteries (LIBs). However, LNMO/graphite (LNMO/Gr) full cells suffer capacity fading, which limits their practical applications. In this study, lithium metaborate (LBO) is applied on the LNMO surface to improve the full cell performance via a dry mixing method. The LBO-coated LNMO delivers much better cycling stability than the uncoated LNMO in full cells with a practical 3 mAh cm(-2) areal capacity. Different characterizations are performed to understand the coating effect to track the boron and its impact on the cathode, electrolyte, and anode. The LBO-coated LNMO owns a 5 nm cathode electrolyte interphase (CEI) with mitigated phase change after long-term cycling. The uncoated LNMO has negligible CEI with obvious phase change. However, no boron can be detected on the surface of the coated sample. Electrolyte and anode analyses indicate that the coating acts as an additive reservoir, gradually dissolves into the electrolyte, and generates BF4- species. As a result, Nickel/Manganese (Ni/Mn) dissolution from LNMO and the extensive generation of solid electrolyte interphase (SEI) on the anode side is mitigated, thus improving the full-cell cycling stability to a great extent.']"
