title,battery_format,cathode,anode,electrolyte,additives,DOI
"N,O-codoped carbon spheres with uniform mesoporous entangled Co3O4 nanoparticles as a highly efficient electrocatalyst for oxygen reduction in a Zn-air battery",[flexible solid-state zinc-air battery],[Co3O4/N,O-codoped carbon spheres, zinc, 0.1 M KOH,10.1016/j.jcis.2021.07.040
Enhanced interfacial stability with a novel boron-centered crosslinked hybrid polymer gel electrolytes for lithium metal batteries,[],[LiFePO4, lithium metal, boron-centered single-ion-conducting polymer gel electrolytes, PVDF-HFP],10.1016/j.cej.2021.131100
Electrolyte Chemistry Towards Improved Cycling Stability in Na-Based Dual-Ion Batteries with High-Power/Energy Storage,[],[graphite, sodium metal, optimized electrolyte, unspecified additives],10.1002/batt.202100124
Ionic liquids and plastic crystals utilising the oxazolidinium cation: the effect of ether functionality in the ring,[],[ [], [], [oxazolidinium-based salts with various anions], [] ],10.1039/d1qm00648g
'Be water' strategy of liquid lithium sulfide enables 0.2 V potential barrier for high-performance lithium-sulfur batteries,[],[Li2S, Li-free anodes, not specified, not specified],10.1016/j.mtener.2021.100793
High-efficient multifunctional electrochemical membrane for lithium polysulfide redox flow batteries,[],[lithium polysulfide, lithium metal, organic electrolyte, []],10.1016/j.memsci.2021.119539
Hydrated alkali-B11H14 salts as potential solid-state electrolytes,[],[],[],metal boron-hydrogen solid electrolyte,[],10.1039/d1ta01551f
Radical anion functionalization of two-dimensional materials as a means of engineering simultaneously high electronic and ionic conductivity solids,[],[A(n)[(BN)(2)OBX3] (A = Li, Na, Mg), lithium metal anode,10.1088/1361-6528/abd1a8
Mechanism of aluminum corrosion in LiFSI-based electrolyte at elevated temperatures,[],[], [], [LiFSI-based electrolyte], [LiBOB],10.1016/S1003-6326(21)65588-7
Incorporating quantum-sized boron dots into 3D cross-linked rGO skeleton to enable the activity of boron anode for favorable lithium storage,[],[B@rGO anode, not specified, not specified, not specified],10.1016/j.cej.2021.130659
Facile Synthesis of Boron-Doped Reduced Electrochemical Graphene Oxide for Sodium Ion Battery Anode,[],[sodium ion battery, B-rEGO anode, , ],10.1007/s11837-021-04750-7
Overview of the Structure-Dynamics-Function Relationships in Borohydrides for Use as Solid-State Electrolytes in Battery Applications,[],[ [], [], solid-state borohydride electrolytes, [] ],10.3390/molecules26113239
Effects of crosslinking density and Lewis acidic sites on conductivity and viscoelasticity of dynamic network electrolytes,[],[ [], [], [polymer electrolyte with ethylene oxide linkers and boronic ester junctions], [] ],10.1002/pol.20210207
Predicted Operando Polymerization at Lithium Anode via Boron Insertion,[],[lithium metal battery, lithium metal anode, concentrated dual-salt/ester electrolyte, LiTFSI and LiDFOB salts,10.1021/acsenergylett.1c00907
Guide to Water Free Lithium Bis(oxalate) Borate (LiBOB),[],[high voltage cathodes, [], [], LiB(C2O4)2 (LiBOB)],10.1021/acs.jpcc.1c01437
Dynamics of Emim+ in [Emim][TFSI]/LiTFSI Solutions as Bulk and under Confinement in a Quasi-liquid Solid Electrolyte,[],[, , quasi-liquid solid electrolytes (LiTFSI in [Emim][TFSI] incorporated in BN matrix), ],10.1021/acs.jpcb.1c02383
New insights into carbon-based and MXene anodes for Na and K-ion storage: A review,[],[2D carbon materials and MXenes, carbon-based and MXene materials, unspecified, unspecified],10.1016/j.jechem.2021.04.031
Stabilization of a 4.7 V High-Voltage Nickel-Rich Layered Oxide Cathode for Lithium-Ion Batteries through Boron-Based Surface Residual Lithium-Tuned Interface Modification Engineering,[],[LiNi0.6Co0.2Mn0.2O2, [], [], []],10.1002/celc.202100125
"Porous N, B co-doped carbon nanotubes as efficient metal-free electrocatalysts for ORR and Zn-air batteries",[],[zinc, air, [], []],10.1016/j.cej.2021.130134
"Enhanced energy storage of aqueous zinc-carbon hybrid supercapacitors via employing alkaline medium and B, N dual doped carbon cathode",[],[B, N dual doped carbon, Zn, KOH,10.1016/j.jcis.2021.04.114
Trace Metal Loading of B-N-Co-doped Graphitic Carbon for Active and Stable Bifunctional Oxygen Reduction and Oxygen Evolution Electrocatalysts,[],[poly(anthraquinone sulfide)/carbon nanotube composite, lithium metal, organic electrolyte, carbon nanotubes],10.1002/celc.202100374
Boron-doping induced lithophilic transition of graphene for dendrite-free lithium growth,[],[LiFePO4, Li metal, [], []],10.1016/j.jechem.2020.08.0192095-4956/
Fast Ion-Conducting Thioboracite with a Perovskite Topology and Argyrodite-like Lithium Substructure,[],[],[],Li6B7S13I,[],10.1021/jacs.1c00941
Organophosphorus decorated lithium borate and phosphate salts with extended π-conjugated backbone,[],[lithium-ion battery, [], [], [Li[B(DPN)₂],10.1039/d1dt00601k
To Promote the Catalytic Conversion of Polysulfides Using Ni-B Alloy Nanoparticles on Carbon Nanotube Microspheres under High Sulfur Loading and a Lean Electrolyte,[],[sulfur cathode, lithium anode, [], []],10.1021/acsami.1c03791
In situ formed three-dimensional (3D) lithium-boron (Li-B) alloy as a potential anode for next-generation lithium batteries,[],[lithium metal battery, Li-B alloy anode, , ],10.1007/s12598-021-01708-1
"Iodine-Substituted Lithium/Sodium closo-Decaborates: Syntheses, Characterization, and Solid-State Ionic Conductivity",[],[],[],[solid-state electrolytes based on closo-decaborates],[],10.1021/acsami.1c01659
Low Resistance and High Stable Solid-Liquid Electrolyte Interphases Enable High-Voltage Solid-State Lithium Metal Batteries,[],[LiNi0.6Co0.2Mn0.2O2, Li, composite solid electrolyte with liquid electrolyte addition, boron and fluorine-donating additives],10.1002/adfm.202010611
Titanium and nitrogen co-doped porous carbon for high-performance supercapacitors†,[],[carbon material with TiO2 nanoparticles, carbon material with TiO2 nanoparticles, 6 M KOH, []],10.1039/d0qm01133a
An Overview on Anodes for Magnesium Batteries: Challenges towards a Promising Storage Solution for Renewables,[],[metallic magnesium, bismuth-, titanium-, tin-based electrodes,10.3390/nano11030810
Engineering oxygen defects in the boron nanosheet for stabilizing complex bonding structure: An approach for high-performance supercapacitor,[],[oxygen defective boron nanosheet, oxygen defective boron nanosheet, aqueous electrolytes (KOH, H2SO4) and BMIMBF4,10.1016/j.cej.2020.127122
A DFT Study of Heteroatom Doped-Pyrazine as an Anode in Sodium ion Batteries,[],[pyrazine-based anode (specifically heteroatom-doped variants with B/F/P/S), sodium ion battery system, electrolyte system not specified, additives not specified],10.14447/jnmes.v24i1.a01
Superior Electrochemical Properties of Ni-Rich LiNi0.85Co0.05Mn0.10O2 Cathode with the Stable Polypyrrole Coating and Boron Doping for Li-Ion Batteries,[],[LiNi0.85Co0.05Mn0.10O2, [], [], [B3+ incorporation,10.1149/1945-7111/abebf9
Nido-Hydroborate-Based Electrolytes for All-Solid-State Lithium Batteries,[],[TiS2, lithium metal, Li-2(B11H14)(CB11H12) solid electrolyte, []],10.1002/adfm.202010046
Modified Graphene Sheets as Promising Cathode Catalysts for Li-O2 Batteries: A First-Principles Study,[],[B- and N-doped and BN codoping on Stone-Wales defect graphene (SWG), Li, dimethyl sulfoxide, []],10.1021/acs.jpcc.0c09616
Layered Heterostructure Ionogel Electrolytes for High-Performance Solid-State Lithium-Ion Batteries,[],[nickel manganese cobalt oxide, graphite, layered heterostructure ionogel electrolyte, hexagonal boron nitride nanoplatelet matrix],10.1002/adma.202007864
High performance solid-state sodium batteries enabled by boron contained 3D composite polymer electrolyte,[],[sodium-ion battery, Na metal anode, composite polymer electrolyte modified with anion-trapping boron, boron moieties],10.1016/j.cej.2020.126736
A cross-linked gel polymer electrolyte employing cellulose acetate matrix and layered boron nitride filler prepared via in situ thermal polymerization,[],[],[],[gel polymer electrolyte with cellulose acetate matrix, poly(ethylene glycol) diacrylate cross-linker,10.1016/j.jpowsour.2020.229235
Perforated two-dimensional nanoarchitectures for next -generation batteries: Recent advances and extensible perspectives,[],[Li-O2, Zn-air, Li-CO2, Li-S,
Engineered heat dissipation and current distribution boron nitride-graphene layer coated on polypropylene separator for high performance lithium metal battery,[coin battery],[LiFePO4, Li metal, [], []],10.1016/j.jcis.2020.09.009
B2O3-Doped LATP Glass-Ceramics Studied by X-ray Diffractometry and MAS NMR Spectroscopy Methods,[],[Li(1.3)Al(0.3)Ti(1.7)(PO4)3 (LATP), [], solid state electrolyte, B2O3],10.3390/nano11020390
A boron-based electrolyte additive for calcium electrodeposition,[],[ [], calcium metal, Ca(TFSI)2-containing electrolyte, boron-containing additive],10.1016/j.elecom.2021.106936
Influences and Mechanisms of Water on a Solid Electrolyte Interphase Film for Lithium-Ion Batteries,[],[not specified, not specified, LiBOB-EC/DEC, not specified],10.1021/acsaem.0c02486
Boron-functionalized carbon felt electrode for enhancing the electrochemical performance of vanadium redox flow batteries,[redox flow battery],[VO2+/VO2+, V2+/V3+, vanadium electrolyte, boron-doped carbon felt],10.1016/j.apsusc.2021.148941
Organoboron-Containing Polymer Electrolytes for High-Performance Lithium Batteries,[],[ [], [], polymer electrolytes, organoboron compounds],10.1002/adfm.202008632
Defined Poly(borosiloxane) as an Artificial Solid Electrolyte Interphase Layer for Thin-Film Silicon Anodes,[],[NNIC, Si, [], poly(borosiloxane)],10.1021/acsaem.0c02749
Integrated Process Control-Power Management System Design and Flight Performance Tests for Fuel Cell Powered Mini-Unmanned Aerial Vehicle,[],[lithium-based, , , ],10.1002/ente.202000879
"Fire-retardant sp3 boron-based single ion conducting polymer electrolyte for safe, high efficiency and dendrite-free Li-metal batteries",[coin battery],[LiFePO4, lithium metal, single lithium ion conducting polymer electrolyte (po-PBSB), []],10.1016/j.memsci.2020.118921
Application of magnetron sputtering to deposit a multicomponent separator with polysulfide chemisorption and electrode stabilization for high-performance lithium-sulfur batteries,[],[sulfur cathode, lithium metal anode, electrolyte system not specified, additives not specified],10.1016/j.surfcoat.2020.126580
H3BO3 washed LiNi0.8Co0.1Mn0.1O2 with enhanced electrochemical performance and storage characteristics,[],[LiNi0.8Co0.1Mn0.1O2, [], [], []],10.1016/j.jpowsour.2020.228940
Functionalized Boron Nitride-Based Modification Layer as Ion Regulator Toward Stable Lithium Anode at High Current Densities,[],[LiFePO4, Li metal, [], []],10.1021/acsami.0c16354
Lactone-Based Liquid Electrolytes for Fluoride Shuttle Batteries,[],[metal fluoride, metal, CsF or KF in lactone-based liquid electrolyte, []],10.1149/1945-7111/abdaff
Asymmetric double-layer composite electrolyte with enhanced ionic conductivity and interface stability for all-solid-state lithium metal batteries,[],[LiFePO4, Li, composite polymer electrolyte, hexagonal boron nitride],10.1016/j.cclet.2020.10.045
Interlinking Primary Grains with Lithium Boron Oxide to Enhance the Stability of LiNi0.8Co0.15Al0.05O2,[],[LiNi0.8Co0.15Al0.05O2, [], [], []],10.1021/acsami.0c16159
Rationalizing the Anion Storage in Cathodes for Optimum Dual-Ion Batteries: State of the Art and the Prospect,[],[graphite, [], [], []],10.1021/acs.energyfuels.0c03719
Pyrolyzed pencil graphite coated cellulose paper as an interlayer: An effective approach for high-performance lithium-sulfur battery,[],[sulfur, lithium, [], []],10.1016/j.apsusc.2020.147483
Nitroxide-Mediated Polymerization: A Versatile Tool for the Engineering of Next Generation Materials,[],[next-generation lithium batteries, , , ],10.1021/acsapm.0c00888
An Effective Way of Improving the Performance of Ni-Rich LiNi0.82Co0.12Mn0.06O2 Cathode in Lithium-Ion Battery via Borate Coating,[],[nickel-rich cathode materials, [], [], [borate]],10.1002/ente.202000721
"Microwave aided scalable synthesis of sulfur, nitrogen co-doped few-layered graphene material for high-performance supercapacitors",[],[S, N-FLG electrodes, S, N-FLG electrodes,10.1016/j.electacta.2020.137209
"Rapid, high-efficient and scalable exfoliation of high-quality boron nitride nanosheets and their application in lithium-sulfur batteries",[],[sulfur, lithium, liquid electrolyte, BNNSs],10.1007/s12274-020-3245-3
4 V room-temperature all-solid-state sodium battery enabled by a passivating cathode/hydroborate solid electrolyte interface,[],[Na-3(VOPO4)(2)F, sodium metal, Na-4(CB11H12)(2)(B12H12), none],10.1039/d0ee01569e
Mechanically-robust structural lithium-sulfur battery with high energy density,[pouch battery],[sulfur, lithium, BN/PVdF composite separator, boron nitride],10.1016/j.ensm.2020.08.018
Borolan-2-yl involving anion acceptors for organic liquid electrolyte-based fluoride shuttle batteries,[],[BiF3, (not mentioned), organic liquid electrolyte containing G4 and CsF, DiOB-Py and DiOB-An],10.1016/j.jfluchem.2020.109672
Fluoride shuttle batteries: On the performance of the BiF3 electrode in organic liquid electrolytes containing a mixture of lithium bis(oxalato) borate and triphenylboroxin,[],[BiF3, [], LiBOB0.25/TPhBX0.25/sat_CsF/G4, LiBOB/TPhBX mixture],10.1016/j.ssi.2020.115499
Effective Upcycling of Graphite Anode: Healing and Doping Enabled Direct Regeneration,[],[transition metal elements, graphite, [], []],10.1149/1945-7111/abcc2f
An electrolyte additive with boron-nitrogen-oxygen alkyl group enabled stable cycling for high voltage LiNi0.5Mn1.5O4 cathode in lithium-ion battery,[],[LiNi0.5Mn1.5O4, [], ethylene carbonate and dimethyl carbonate (EC/DMC), Methylboronic acid MIDA ester (ADM)],10.1016/j.jpowsour.2020.228473
High-power Mg batteries enabled by heterogeneous enolization redox chemistry and weakly coordinating electrolytes,[],[carbonyl-based cathode, magnesium metal anode, boron cluster-based electrolyte, []],10.1038/s41560-020-00734-0
Al-compatible boron-based electrolytes for rechargeable magnesium batteries,[],[various cathodes, Mg metal, ethereal solution containing tris(2H-hexafluoroisopropyl)borate, []],10.1039/d0cc05611a
Water-free Localization of Anion at Anode for Small-Concentration Water-in-Salt Electrolytes Confined in Boron-Nitride Nanotube,[],[, , LiTFSI aqueous electrolyte, []],10.1016/j.xcrp.2020.100246
Boron and phosphorous co-doped porous carbon as high-performance anode for sodium-ion battery,[],[, B and P co-doped honeycomb-like carbon (BPC), , ],10.1016/j.ssi.2020.115455
Progress in retrospect of electrolytes for secondary magnesium batteries,[],[Mg insertion cathode, Mg-metal anode, liquid/solid/molten salt electrolytes, []],10.1016/j.ccr.2020.213478
Efficient potential-tuning strategy through p-type doping for designing cathodes with ultrahigh energy density,[],[Li(Na)BCF2/Li(Na)B2C2F2, carbonaceous materials, [], []],10.1093/nsr/nwaa174
Borophene-like boron subunits-inserted molybdenum framework of MoB2 enables stable and quick-acting Li2S6-based lithium-sulfur batteries,[],[lithium-sulfur, lithium metal, liquid electrolyte, Li2S6],10.1016/j.ensm.2020.07.040
Transparent Graphene/BN-Graphene Stacked Nanofilms for Electrocatalytic Oxygen Evolution,[],[, , alkaline electrolyte, ],10.1021/acsanm.0c02307
Closo-Hydroborate Sodium Salts as an Emerging Class of Room-Temperature Solid Electrolytes,[],[],[],Na-based hydroborates solid electrolyte,[],10.1016/j.xcrp.2020.100217
Boron Carbonitride Lithium-Ion Capacitors with an Electrostatically Expanded Operating Voltage Window,[],[B-rich BCN cathode, N-rich BCN anode, [], []],10.1021/acsami.0c12163
Direct Ink Writing of Polymer Composite Electrolytes with Enhanced Thermal Conductivities,[],[LiFePO4, lithium metal, PEO composite polymer electrolyte, silane-treated hexagonal boron nitride],10.1002/adfm.202006683
Enhanced ion transport in PVDF-HFP gel polymer electrolyte containing PDA@BN for lithium ion batteries,[coin battery],[LiFePO4, lithium metal, PVDF-HFP gel polymer electrolyte with [EMIM][TFSI] and LiTFSI, polymerized dopamine modified boron nitride nanosheets (PDA@BN)],10.1016/j.matlet.2020.128391
Integrating metallic cobalt and N/B heteroatoms into porous carbon nanosheets as efficient sulfur immobilizer for lithium-sulfur batteries,[],[sulfur, lithium, [], []],10.1016/j.carbon.2020.06.017
Electrochemical Behavior of Cobalt Oxide/Boron-Incorporated Reduced Graphene Oxide Nanocomposite Electrode for Supercapacitor Applications,[],[Co3O4/B-rGO nanocomposite, , 2 M KOH or NaOH, ],10.1007/s11665-020-05176-z
3D Graphene-Carbon Nanotube Hybrid Supported Coupled Co-MnO Nanoparticles as Highly Efficient Bifunctional Electrocatalyst for Rechargeable Zn-Air Batteries,[],[Zn, Zn, alkaline electrolyte, []],10.1002/asia.202000913
Role of graphene in NiSe2/graphene composites - Synthesis and testing for electrochemical supercapacitors,[],[nickel selenide-graphene nanocomposites (NiSe2/G, NiSe2/NG, NiSe2/BG), unspecified,10.1016/j.diamond.2020.107983
"An ultrathin, strong, flexible composite solid electrolyte for high-voltage lithium metal batteries",[],[LiNi0.8Co0.1Mn0.1O2, lithium metal, PAN-LiClO4-BNNF composite electrolyte, boron nitride nanoflake (BNNF)],10.1039/d0ta05644h
Boron group element doping of Li1.5Al0.5Ge1.5(PO4)3based on microwave sintering,[],[],[],Li1.5Al0.5Ge1.5(PO4)3 solid electrolyte,[B,10.1007/s10008-020-04829-2
Hybrid supercapacitors from porous boron-doped diamond with water-soluble redox electrolyte,[],[porous boron-doped diamond, porous boron-doped diamond, water-soluble redox couples (Fe(CN)6^(3-/4-)) + Na2SO4, []],10.1016/j.surfcoat.2020.126103
Hybrid functional materials forming the metal structure with optimal imperfection for storage of hydrogen in hydride form,[],[nickel-based composites, hydrogen storage materials, sulfamate nickel electrolyte/polyhedral borates/NiSO4-based electrolyte, boron/indium doping],10.1016/j.ijhydene.2020.06.221
Flexible Diamond Fibers for High-Energy-Density Zinc-Ion Supercapacitors,[],[boron-doped diamond/carbon fibers, zinc nanosheet coated diamond fibers, [], []],10.1002/aenm.202002202
Critical Issues of Fluorinated Alkoxyborate-Based Electrolytes in Magnesium Battery Applications,[],[magnesium-based cathode (unspecified), magnesium metal anode, Mg[B(HFIP)4]2/glyme electrolyte, [TFSA]-based passivation additives],10.1021/acsami.0c09948
Combining Superionic Conduction and Favorable Decomposition Products in the Crystalline Lithium-Boron-Sulfur System: A New Mechanism for Stabilizing Solid Li-Ion Electrolytes,[],[],[],[Li-B-S system],[],10.1021/acsami.9b19091
Rational Design of 2D h-BAs Monolayer as Advanced Sulfur Host for High Energy Density Li-S Batteries,[],[lithium-sulfur, lithium metal, [], []],10.1021/acsaem.0c00492
Thermal Conductive 2D Boron Nitride for High-Performance All-Solid-State Lithium-Sulfur Batteries,[],[sulfur, lithium, polyethylene oxide-based, boron nitride nanoflakes],10.1002/advs.202001303
Unraveling the effect of nitrogen doping on graphene nanoflakes and the adsorption properties of ionic liquids: A DFT study,[],[N-doped graphene nanoflakes, N-doped graphene nanoflakes, ionic liquids, []],10.1016/j.molliq.2020.113400
Mitigating the Shielding Effect of Ether Oxygen in Poly(ethylene glycol) on Boron Atoms in Boron-Doped Poly(ethylene glycol) Hybrid Polymer Electrolyte by Introducing Siloxane Spacers,[],[],[],[B-Si-x-PEGs solid polymer electrolytes with lithium salts],[boron doping,10.1002/celc.202000784
Study on boron-containing electrolytes at extra-high temperatures for lithium-ion batteries,[coin battery],[lithium iron phosphate (LFP), lithium foil, ethylene carbonate (EC)/diethyl carbonate (DEC)/ethyl methyl carbonate (EMC) equal volume mixture, LiBOB and LiBF4],10.1039/d0se00529k
Toward Moisture-Stable and Dendrite-Free Garnet-Type Solid-State Electrolytes,[],[[], lithium metal, garnet-type solid-state electrolyte, h-BN nanosheets],10.1021/acsaem.0c00905
Porous BN Nanofibers Enable Long-Cycling Life Sodium Metal Batteries,[],[Na3V2O2(PO4)2F/Ti3C2X, BN/Na, [], []],10.1002/smll.202002671
Dense MoS2Micro-Flowers Planting on Biomass-Derived Carbon Fiber Network for Multifunctional Sulfur Cathodes,[],[S-MoS2/CFs composite, [], [], []],10.1002/slct.202001729
Molecular Design of a Highly Stable Single-Ion Conducting Polymer Gel Electrolyte,[],[], lithium metal, Li-containing boron-centered fluorinated SIC polymer gel electrolyte, [],10.1021/acsami.0c03363
Enhanced Structural Stability of Boron-Doped Layered@Spinel@Carbon Heterostructured Lithium-Rich Manganese-Based Cathode Materials,[],[Li-rich 3d-transition-metal cathode materials (xLi₂MnO₃·(1-x)LiMO₂), [], [], []],10.1021/acssuschemeng.0c00870
Boron and pyridinic nitrogen-doped graphene as potential catalysts for rechargeable non-aqueous sodium-air batteries,[],[graphene-based catalysts, sodium metal, non-aqueous electrolyte, []],10.1039/d0ra03126g
Boron-containing single-ion conducting polymer electrolyte for dendrite-free lithium metal batteries,[coin battery],[LiFePO4, lithium metal, boron-containing single-ion conducting polymer electrolyte, []],10.1016/j.ssi.2020.115309
Electrolyte with boron nitride nanosheets as leveling agent towards dendrite-free lithium metal anodes,[],[sulfur, lithium metal, liquid electrolyte, boron nitride nanosheets],10.1016/j.nanoen.2020.104725
Lithium bis(oxalate)borate additive in the electrolyte to improve Li-rich layered oxide cathode materials,[],[Li1.2Mn0.54Co0.13Ni0.13O2, [], 1.0 M LiPF6 ethylene carbonate/ethyl methyl carbonate, 0.1 M lithium bis(oxalato)borate (LiBOB)],10.1039/d0qm00094a
Impact of Functionalization and Co-Additives on Dioxazolone Electrolyte Additives,[],[], [], [], [3-phenyl-1,10.1149/1945-7111/ab8ed6
Hexagonal boron nitride induces anion trapping in a polyethylene oxide based solid polymer electrolyte for lithium dendrite inhibition,[],[LiFePO4, Li metal, PEO/LiTFSI/h-BN composite electrolyte, h-BN],10.1039/d0ta03677c
Imparting Boron Nanosheets with Ambient Stability through Methyl Group Functionalization for Mechanistic Investigation of Their Lithiation Process,[],[cathode material not mentioned, boron-based anode, electrolyte system not specified, additives not mentioned],10.1021/acsami.0c05236
Optimisation of Formation and Conditioning Protocols for Lithium-Ion Electric Vehicle Batteries,[],[[], graphite, [], []],10.1002/batt.202000048
Wiping off oxygen bonding to maximize heteroatom-induced improvement in oxygen reaction activity of metal site for high-performance zinc-air battery,[],[oxygen (air), zinc, aqueous electrolyte and gel electrolyte, []],10.1088/1361-6528/ab6fdb
"Identification of functionality of heteroatoms in boron, nitrogen and fluorine ternary-doped carbon as a robust electrocatalyst for nitrogen reduction reaction powered by rechargeable zinc-air batteries",[coin battery],[BNFC electrocatalyst, zinc, aqueous electrolyte, []],10.1039/d0ta01572e
Lithium intercalation edge effects and doping implications for graphite anodes,[],[], [graphite], [], [],10.1039/c9ta13862e
"Investigation of Mixtures of BF3 Carbonates and LiX (X = OCH2CF3, OC(H)(CF3)2, CO2CF3) as Novel Electrolyte Systems for Lithium Ion Batteries",[],[Li[Ni0.33Mn0.33Co0.33O2], graphite, LiX (X = OCH2CF3, OC(H)(CF3)2,10.1149/1945-7111/ab8876
NiFe saponite as a new anode material for high-performance lithium-ion batteries,[],[LiMn2O4, NiFe saponite (NF-SAP), [], []],10.1039/c9ta12895f
"Ammonia-assisted fast Li-ion conductivity in a new hemiammine lithium borohydride, LiBH4•1/2NH3",[],[[], [], LiBH4·1/2NH3, []],10.1039/c9cc09990e
Guidelines and trends for next-generation rechargeable lithium and lithium-ion batteries,[],[high-voltage cathodes, Li metal anodes/high-capacity anodes, useful electrolyte solutions, []],10.1039/c7cs00863e
Electrochemically induced crystallization of amorphous materials in molten MgCl2: boron nitride and hard carbon,[],[[], synthesized graphite, [], []],10.1039/c9cc08717f
Magnesium Borate Fiber Coating Separators with High Lithium-Ion Transference Number for Lithium-Ion Batteries,[coin battery],[LiFePO4, [], LiPF6-based, [magnesium borate fiber]],10.1002/celc.201901916
Graphene Supported Boron Nitride Nanosheets as Advanced Electroanalytical Performance for Rechargeable Magnesium Storage System,[],[G/BN-20%, [], [], []],10.1002/slct.201904872
Phase-Inversion Polymer Composite Separators Based on Hexagonal Boron Nitride Nanosheets for High-Temperature Lithium-Ion Batteries,[],[[], [], [], []],10.1021/acsami.9b18134
"Amine-Functionalized Boron Nitride Nanosheets: A New Functional Additive for Robust, Flexible Ion Gel Electrolyte with High Lithium-Ion Transference Number",[],[LiFePO4, Li, ion gel electrolyte, AFBNNSs],10.1002/adfm.201910813
Selective doping to relax glassified grain boundaries substantially enhances the ionic conductivity of LiTi2(PO4)3 glass-ceramic electrolytes,[],[], [], glass-ceramic Li1.3Al0.3Ti1.7(PO4)3 electrolyte, boron,10.1016/j.jpowsour.2019.227574
Facile Self-Forming Superionic Conductors Based on Complex Borohydride Surface Oxidation,[],[[], metal anodes (Li, Na, and/or Mg),10.1002/adsu.201900113
Achieving Both High Ionic Conductivity and High Interfacial Stability with the Li2+xC1-xBxO3 Solid-State Electrolyte: Design from Theoretical Calculations,[],[LiCoO2/LiMnO2/LiMn2O4, [], Li2+xC1-xBxO3 (LCBO), []],10.1021/acsami.9b22185
Reduced Silicon Fragmentation in Lithium Ion Battery Anodes Using Electronic Doping Strategies,[],[[], silicon anode, organic electrolyte, []],10.1021/acsaem.9b02200
Incorporation of Ammonia Borane Groups in the Lithium Borohydride Structure Enables Ultrafast Lithium Ion Conductivity at Room Temperature for Solid-State Batteries,[],[], [], [lithium borohydride ammonia borane complexes ((LiBH4)(x)·AB)], [],10.1021/acs.chemmater.9b03188
Enhanced cyclability and dynamic properties of P2-type Na0.59Co0.20Mn0.80O2 cathode by B-doping for sodium storage,[],[P2-Na0.59Co0.20Mn0.75B0.05O2, [], [], []],10.1016/j.chemphys.2019.110582
Coating of Li1+x[Ni0.85Co0.10Mn0.05]1-xO2Cathode Active Material with Gaseous BF3,[],[NCM851005, [], [], []],10.1149/1945-7111/aba8b8
Insights into the Dual Role of Lithium Difluoro(oxalato)borate Additive in Improving the Electrochemical Performance of NMC811∥Graphite Cells,[],[LiNi0.83Mn0.05Co0.12O2, graphite, carbonate-based electrolyte, LiDFOB],10.1021/acsaem.9b01894
Enhanced electrochemical supercapacitor performance with a three-dimensional porous boron-doped diamond film,[],[P-BDD, P-BDD, 0.1 M H2SO4, []],10.1039/c9nj04019f
Hollow Boron-Doped Si/SiOx Nanospheres Embedded in the Vanadium Nitride/Nanopore-Assisted Carbon Conductive Network for Superior Lithium Storage,[],[], [B-Si/SiOx@VN/PC], [], [],10.1021/acsami.9b14912
Operando Fourier Transform Infrared Investigation of Cathode Electrolyte lnterphase Dynamic Reversible Evolution on Li1.2Ni0.2Mn0.6O2,[],[Li/Mn-rich cathode, Li metal, carbonate-based electrolyte, tris(trimethylsilyl)-borate (TMSB)],10.1021/acsami.9b17438
Remarkably Improved Cycling Stability of Boron-Strengthened Multicomponent Layer Protected Micron-Si Composite Anode,[],[], silicon composite anode, [], [],10.1021/acssuschemeng.9b05155
Highly Adhesive Li-BN Nanosheet Composite Anode with Excellent Interfacial Compatibility for Solid-State Li Metal Batteries,[],[LiFePO4, Li-BNNS composite, solid-state electrolyte, BNNS],10.1021/acsnano.9b08803
Understanding the Electrode/Electrolyte Interface Layer on the Li-Rich Nickel Manganese Cobalt Layered Oxide Cathode by XPS,[],[lithium-rich nickel manganese cobalt oxide (LR-NMC), [], [], tris(pentafluorophenyl)borane],10.1021/acsami.9b14389
A robust bi-layer separator with Lewis acid-base interaction for high-rate capacity lithium-ion batteries,[],[lithium iron phosphate, [], [], []],10.1016/j.compositesb.2019.107448
Insights into Boron-Based Polyanion-Tuned High-Nickel Cathodes for High-Energy-Density Lithium-Ion Batteries,[],[LiNi0.94Co0.06O2 or B2O3-LiNi0.94Co0.06O2, graphite, [], []],10.1021/acs.chemmater.9b02916
Direct Solution-Based Synthesis of Na4(B12H12)(B10H10) Solid Electrolyte,[],[not specified, not specified, Na-4(B12H12)(B10H10), not specified],10.1002/cssc.201902152
Plastic crystal polymer electrolytes containing boron based anion acceptors for room temperature all-solid-state sodium-ion batteries,[],[NaNi1/3Fe1/3Mn1/3O2, hard carbon, nonwoven supported plastic crystal polymer electrolyte containing anion-trapping boron moieties, boron-containing cross-linker],10.1016/j.ensm.2018.12.023
Boron nitride doped Li7P3S11 solid electrolyte with improved interfacial compatibility and application in all-solid-state Li/S battery,[],[sulfur, lithium metal, Li7P3S11 solid electrolyte, BN nanoflakes],10.1007/s10854-019-02267-z
Role of borate functionalized carbon nanotube catalyst for the performance improvement of vanadium redox flow battery,[],[vanadium, vanadium, vanadium redox flow electrolyte, Borate-CNT catalyst],10.1016/j.jpowsour.2019.227063
